id,nom,ridet,adresse,telephone,url_gmaps,url_fb,quartier,code_insee,position
1,BOURAIL ELECTRONIC,0740001001,5 A rue Simone Dremon - Village,44.33.55,https://goo.gl/maps/nSZ25o1ogQWoFQjK7,https://fr-fr.facebook.com/BOURAIL.ELECTRONIC/,,98803,POINT(165.49879 -21.56877)
2,CONNECT MULTIMEDIA,1188648001,Complexe Commercial Kenu-In Koutio,41.20.22,https://goo.gl/maps/2DbyT75vbncUyuT46,https://fr-fr.facebook.com/connectmultimedianc/,,98805,POINT(166.473116 -22.222359)
3,MOBILE MANIA,1119601002,Centre Pascal Picou Kenu-In Koutio,46.22.09,https://goo.gl/maps/eXgnHHiZACZPUPvc7,https://fr-fr.facebook.com/maniamob/,,98805,POINT(166.473116 -22.222359)
4,LAGOON,0482422006,Centre Commercial TEARI,29.68.21,https://goo.gl/maps/H8JJzoNvcq9WEaNY7,https://fr-fr.facebook.com/lagoonNC/,,98811,POINT(164.86979 -21.071298)
5,TECH MASTER,1274224002,Ramada Plazza - 27 PMD R. Laroque,20.68.66,https://goo.gl/maps/tvt6qYrFQnfMzBuZ8,https://www.facebook.com/TechMaster-Mirage-Plaza-1866526690238259/,Baie des Citrons,98818,POINT(166.448744 -22.302828)
6,BUI DUYET TÉLÉPHONIE,0599704002,12 bis rue du Général Mangin,27.73.33,https://goo.gl/maps/ysN8pyxFgHmT7nSU7,https://www.facebook.com/BUI-DUYET-Telephonie-367147523404999/,Centre-ville,98818,POINT(166.44066 -22.27065)
7,LAKAZÀMOBILE,,Galerie Nouméa Centre - 20 rue A. France,28.12.68,,,Centre-ville,98818,POINT(166.440286 -22.271792)
8,MOBILE MANIA,0884551001,25 bis rue J. Jaurès,28.82.25,https://goo.gl/maps/H9ZahhBNpY7nj6hv8,https://fr-fr.facebook.com/maniamob/,Centre-ville,98818,POINT(166.440546 -22.270655)
9,SHOP PANASONIC,0733618001,12 rue du Général Mangin,28.82.88,https://goo.gl/maps/jeh2DUsWmhNoRgqg9,https://www.facebook.com/pg/SHOP.PANASONIC/,Centre-ville,98818,POINT(166.439784 -22.271358)
10,CAN'L,0585794001,34 rue du Général Gallieni,24.38.70,https://g.page/canlnc?share,https://fr-fr.facebook.com/canlnc/,Centre-ville,98818,POINT(166.438967 -22.273209)
11,DJILO MULTIMEDIA,1014810001,14 rue Guegan - Quartier Latin,43.55.34,https://goo.gl/maps/BBYYQYsXcfvNCqLx8,,Centre-ville,98818,POINT(166.444705 -22.275736)
12,CONNECT MULTIMEDIA,0188648001,11 rte Baie des dames,27.86.29,https://goo.gl/maps/QrCs6XVeNeFXPxVU7,https://fr-fr.facebook.com/connectmultimedianc/,Ducos,98818,POINT(166.446623 -22.241986)
13,BUI DUYET ELECTRONIC CENTER,0763029001,Complexe Ducos Le Centre - 30 rte Baie des dames,24.05.61,https://goo.gl/maps/L3K8aP4zRcSycTZy7,https://fr-fr.facebook.com/BDDC2011/,Ducos,98818,POINT(166.447948 -22.236213)
14,LAGOON,0482422001,Complexe Le Plexus - 63 rue Fernand Forest,28.88.88,https://goo.gl/maps/c77enBQCuHvtD5R8A,https://fr-fr.facebook.com/lagoonNC/,Ducos,98818,POINT(166.449349 -22.247054)
15,MOBILE MANIA,0884551004,Complexe LEADER PRICE - 6 rue du 18 juin,23.32.07,,https://fr-fr.facebook.com/maniamob/,Magenta,98818,POINT(166.462635 -22.268345)
16,DJILO MULTIMEDIA,1014810001,312 rue Jacques Iekawé,46.61.10,,,PK7,98818,POINT(166.479759 -22.232464)
17,LAGOON,0482422002,Galerie Port Plaisance - 10 rue Jules Garnier,29.68.12,https://goo.gl/maps/G7FJNexbXfgSiT8x6,https://fr-fr.facebook.com/lagoonNC/,Port Plaisance,98818,POINT(166.438833 -22.290716)
18,MOBILE MANIA,1119601003,10 rue Schmitt,30.48.21,,https://fr-fr.facebook.com/maniamob/,Sainte-Marie,98818,POINT(166.460041 -22.27554)
19,MOBILE MANIA,0884551005,78 RT1 - Village,27.75.04,,https://fr-fr.facebook.com/maniamob/,,98821,POINT(166.368406 -22.130447)
20,MOBILE MANIA,0884551006,2795 avenue des 2 baies,27.74.64,,https://fr-fr.facebook.com/maniamob/,,92060,POINT(166.508334 -22.224573)
